FacilityName,lat,long,S,State,City,PrimaryRestriction,Other Requirement 1,Other Requirement 2,Other Requirement 3,Other Requirement 4,Color Coding,num_max_books,only_paperback,condition_good_used_okay,bundle,has_no_restrictions,condition_new,needs_prior_approval,hardcover_okay
Alex City Community Based Facility / Community Work Center,30.737974,-88.108942,0,Alabama,Alexander City,,,,,,,9999,False,False,False,True,False,False,False
FCI Aliceville,38.15447,-95.55193,1,Alabama,Aliceville,White envelopes only,,"No stationary, no blank greeting cards, no journals, no blank paper",,,white envelopes only,5,True,False,False,False,False,False,False
Davis Correctional ,38.550067,-121.725799,2,Alabama,Atmore,,,,,,,9999,False,False,False,True,False,False,False
Fountain Correctional ,31.156856,-87.464965,3,Alabama,Atmore,"Make sure it says: ""PO Box 3800"" in the return address.",,,,,"make sure it says: ""po box 3800"" in the return address.",9999,False,False,False,True,False,False,False
Holman Correctional ,40.672852,-111.860271,4,Alabama,Atmore,,,,,,,9999,True,False,False,False,False,False,False
Oakwood - N. Baldwin ,26.305848,-80.141044,5,Alabama,Bay Minette,,,,,,,3,True,False,False,False,True,False,False
Donaldson Correctional ,40.63592,-76.4119,6,Alabama,Bessemer,Number and Bed Assignment must be shown on address,,,,"Number and Bed Assignment must be shown on address, mark this up on letter!!!",number and bed assignment must be shown on address,4,True,False,False,False,True,False,False
Brimingham Community Based Facility,41.783084,72.046752,7,Alabama,Birmingham,,,,,,,3,True,False,False,False,False,False,False
Bibb Correctional ,32.919152,-87.163477,8,Alabama,Brent,,,,,,,9999,True,False,False,False,False,False,False
Castle Rock,39.331104,-104.848977,9,Alabama,Castle Rock,,No Sex,,,,,9999,False,False,False,False,False,False,False
Ventress Correctional ,30.683038,-91.425464,10,Alabama,Clayton,,,,,,,0,False,False,False,False,False,False,False
Easterling Correctional ,31.689222,-85.585658,11,Alabama,Clio,,,,,,,0,False,False,False,False,False,False,False
Shelby County Jail,33.18357,-86.627385,12,Alabama,Columbiana,,,,,,,0,False,False,False,False,False,False,False
Decatur Work Release ,39.84031,-88.9548,13,Alabama,Decatur,,,,,,,9999,True,False,False,False,False,False,False
Elmore Correctional (3520 Marion Spillway),32.574283,-86.320808,14,Alabama,Elmore,,,,No Sex,,,3,True,False,False,False,False,False,False
Staton Correctional (Box 56/2690 Marion Spillway),32.576807,-86.333402,15,Alabama,Elmore,,,,,,,9999,False,False,False,False,False,False,False
Limestone Correctional ,40.667339,-89.69958,16,Alabama,Harvest,,,,,,,9999,True,True,False,False,False,False,False
,18.776703,100.77522,17,Alabama,Kenai,,,,,,,5,True,True,False,False,False,False,False
Mobile Co. Jail,30.681,-88.04175,18,Alabama,Mobile,,,,,,,3,True,False,False,False,False,False,False
FPC Maxwell Air Force Base,7.312017,13.598974,19,Alabama,Montgomery,"Write: ""APPROVED READING MATERIAL"" on package.",,,,,"write: ""approved reading material"" on package.",9999,True,False,False,False,False,False,False
Montgomery City Jail,36.525922,-87.359748,20,Alabama,Montgomery,,,,,,,0,False,False,False,False,False,False,False
Kilby Correctional ,32.415738,-86.26378,21,Alabama,Mt. Meigs,,,,,,,0,False,False,False,False,False,False,False
Montegomery Women's Facility,32.613397,-82.35634,22,Alabama,Mt. Meigs,,,,,,,0,False,False,False,False,False,False,False
FCI,24.047019,84.072557,24,Alabama,Talladega,,,,,,,9999,True,False,False,False,False,False,False
Perry County Detention Center,40.405276,-77.256678,26,Alabama,Union Town,,,,,,,0,False,False,False,False,False,False,False
Tutwiler Prison for Women,32.563821,-86.19364,27,Alabama,Wetumpka,,,,,,,9999,True,False,False,False,False,False,False
ACC East,25.791058,-80.21153,28,Alaska,Anchorage,,,,,,,9999,True,False,False,False,False,False,False
Lemon Creek,49.7,-117.48333,31,Alaska,Juneau,,,,,,,0,False,False,False,False,False,False,False
Spring Creek Correctional ,43.103259,-101.038811,33,Alaska,Seward,,Publisher Only,,,,,0,False,False,False,False,False,False,False
Goose Creek Corr. Ctr,61.359964,-150.008035,34,Alaska,Wasilla,,,,,,,9999,True,False,False,False,False,False,False
Lewis Bachman Unit,47.086585,-122.577598,35,Arizona,Buckeye,,,,,,,0,False,False,False,False,False,False,False
Lewis Barchey Unit,47.086585,-122.577598,36,Arizona,Buckeye,,,,,,,0,False,False,False,False,False,False,False
Lewis Buckley Unit,47.086585,-122.577598,37,Arizona,Buckeye,,,,,,,0,False,False,False,False,False,False,False
Lewis Eagle Point Unit,42.459804,-122.803634,38,Arizona,Buckeye,,,,,,,9999,True,True,False,False,False,False,False
Lewis Morey Unit,47.086585,-122.577598,39,Arizona,Buckeye,,,,,,,0,False,False,False,False,False,False,False
Lewis Rast Unit,47.086585,-122.577598,40,Arizona,Buckeye,,,,,,,0,False,False,False,False,False,False,False
